floodfill,2,2,t/o,t/o,t/o,39,1789,885,855,882,0.22,0.22,0.22,5,4,5,5,5
FFTTransformScimark,1,2,t/o,t/o,t/o,1,1491,2786,2441,2195,0.35,0.35,0.35,6,5,5,5,3
LUScimark,38,2,41,41,40,122,439,998,987,981,0.0,0.0,0.0,5,4,4,4,5
MonteCarloScimark,1,1,t/o,t/o,t/o,8,2301,180,3,275,0.37,0.35,0.33,6,6,5,5,4
SORScimark,1,2,0,0,0,1,1414,3,3,3,0.0,0.0,0.0,5,3,5,6,5
SparseMatMulScimark,0,2,1,1,1,1,1546,146,146,146,0.1,0.1,0.1,5,5,4,5,4
simpleRayTracer,1,1,0,0,0,1,890,2,2,2,0.0,0.0,0.0,6,6,6,6,6
